bibtex,Authors,Title,Venue,Year,Abbr venue,Abstract
"@article{crane-2018-questionable,
    title = ""Questionable Answers in Question Answering Research: Reproducibility and Variability of Published Results"",
    author = ""Crane, Matt"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""6"",
    year = ""2018"",
    url = ""https://www.aclweb.org/anthology/Q18-1018"",
    doi = ""10.1162/tacl_a_00018"",
    pages = ""241--252"",
   abstract = ""Based on theoretical reasoning it has been suggested that the reliability of findings published in the scientific literature decreases with the popularity of a research field” (Pfeiffer and Hoffmann, 2009). As we know, deep learning is very popular and the ability to reproduce results is an important part of science. There is growing concern within the deep learning community about the reproducibility of results that are presented. In this paper we present a number of controllable, yet unreported, effects that can substantially change the effectiveness of a sample model, and thusly the reproducibility of those results. Through these environmental effects we show that the commonly held belief that distribution of source code is all that is needed for reproducibility is not enough. Source code without a reproducible environment does not mean anything at all. In addition the range of results produced from these effects can be larger than the majority of incremental improvement reported.""
}
","Crane, Matt",Questionable Answers in Question Answering Research: Reproducibility and Variability of Published Results,Transactions of the Association for Computational Linguistics,2018,TACL,"Based on theoretical reasoning it has been suggested that the reliability of findings published in the scientific literature decreases with the popularity of a research field” (Pfeiffer and Hoffmann, 2009). As we know, deep learning is very popular and the ability to reproduce results is an important part of science. There is growing concern within the deep learning community about the reproducibility of results that are presented. In this paper we present a number of controllable, yet unreported, effects that can substantially change the effectiveness of a sample model, and thusly the reproducibility of those results. Through these environmental effects we show that the commonly held belief that distribution of source code is all that is needed for reproducibility is not enough. Source code without a reproducible environment does not mean anything at all. In addition the range of results produced from these effects can be larger than the majority of incremental improvement reported."
"@inproceedings{branco-2018-depleting,
    title = ""We Are Depleting Our Research Subject as We Are Investigating It: In Language Technology, more Replication and Diversity Are Needed"",
    author = ""Branco, Ant{\'o}nio"",
    booktitle = ""Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)"",
    month = may,
    year = ""2018"",
    address = ""Miyazaki, Japan"",
    publisher = ""European Language Resources Association (ELRA)"",
    url = ""https://www.aclweb.org/anthology/L18-1022"",
    abstract = ""In this paper, we present an analysis indicating that, in language technology, as we are investigating natural language we are contributing to deplete it in the sense that we are contributing to reduce the diversity of languages.  To address this circumstance, we propose that more replication and reproduction and more language diversity need to be taken into account in our research activities.""
}
","Branco, Ant{\'o}nio","We Are Depleting Our Research Subject as We Are Investigating It: In Language Technology, more Replication and Diversity Are Needed",Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),2018,LREC,"In this paper, we present an analysis indicating that, in language technology, as we are investigating natural language we are contributing to deplete it in the sense that we are contributing to reduce the diversity of languages.  To address this circumstance, we propose that more replication and reproduction and more language diversity need to be taken into account in our research activities."
"@inproceedings{cohen-etal-2018-three,
    title = ""Three Dimensions of Reproducibility in Natural Language Processing"",
    author = ""Cohen, K. Bretonnel  and
      Xia, Jingbo  and
      Zweigenbaum, Pierre  and
      Callahan, Tiffany  and
      Hargraves, Orin  and
      Goss, Foster  and
      Ide, Nancy  and
      N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Grouin, Cyril  and
      Hunter, Lawrence E."",
    booktitle = ""Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)"",
    month = may,
    year = ""2018"",
    address = ""Miyazaki, Japan"",
    publisher = ""European Language Resources Association (ELRA)"",
    url = ""https://www.aclweb.org/anthology/L18-1025"",
   abstract = ""Despite  considerable  recent  attention  to  problems  with  reproducibility  of  scientific  research,  there  is  a  striking  lack  of  agreement about the definition of the term.  That is a problem, because the lack of a consensus definition makes it difficult to compare studies of reproducibility, and thus to have even a broad overview of the state of the issue in natural language processing.  This paper proposes anontology of reproducibility in that field. Its goal is to enhance both future research and communication about the topic, and retrospective meta-analyses. We show that three dimensions of reproducibility, corresponding to three kinds of claims in natural language processing papers, can account for a variety of types of research reports. These dimensions are reproducibility of aconclusion, of a finding, and ofavalue. Three biomedical natural language processing papers by the authors of this paper are analyzed with respect to these dimensions.""
}
","Cohen, K. Bretonnel  and
      Xia, Jingbo  and
      Zweigenbaum, Pierre  and
      Callahan, Tiffany  and
      Hargraves, Orin  and
      Goss, Foster  and
      Ide, Nancy  and
      N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Grouin, Cyril  and
      Hunter, Lawrence E.",Three Dimensions of Reproducibility in Natural Language Processing,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),2018,LREC,"Despite  considerable  recent  attention  to  problems  with  reproducibility  of  scientific  research,  there  is  a  striking  lack  of  agreement about the definition of the term.  That is a problem, because the lack of a consensus definition makes it difficult to compare studies of reproducibility, and thus to have even a broad overview of the state of the issue in natural language processing.  This paper proposes anontology of reproducibility in that field. Its goal is to enhance both future research and communication about the topic, and retrospective meta-analyses. We show that three dimensions of reproducibility, corresponding to three kinds of claims in natural language processing papers, can account for a variety of types of research reports. These dimensions are reproducibility of aconclusion, of a finding, and ofavalue. Three biomedical natural language processing papers by the authors of this paper are analyzed with respect to these dimensions."
"@inproceedings{gartner-etal-2018-preserving,
    title = ""Preserving Workflow Reproducibility: The {R}e{P}lay-{DH} Client as a Tool for Process Documentation"",
    author = {G{\""a}rtner, Markus  and
      Hahn, Uli  and
      Hermann, Sibylle},
    booktitle = ""Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)"",
    month = may,
    year = ""2018"",
    address = ""Miyazaki, Japan"",
    publisher = ""European Language Resources Association (ELRA)"",
    url = ""https://www.aclweb.org/anthology/L18-1089"",
   abstract = ""In  this  paper  we  present  a  software  tool  for  elicitation  and  management  of  process  metadata.   It  follows  our  previously  published design idea of an assistant for researchers that aims at minimizing the additional effort required for producing a sustainable workflow documentation.   With  the  ever-growing  number  of  linguistic  resources  available,  it  also  becomes  increasingly  important  to  provide proper  documentation  to  make  them  comparable  and  to  allow  meaningful  evaluations  for  specific  use  cases.   The  often  prevailing practice  of  post  hoc  documentation  of  resource  generation  or  research  processes  bears  the  risk  of  information  loss.   Not  only  does detailed documentation of a process aid in achieving reproducibility, it also increases usefulness of the documented work for others asa cornerstone of good scientific practice.  Time pressure together with the lack of simple documentation methods leads to workflow documentation in practice being an arduous and often neglected task. Our tool ensures a clean documentation for common workflows innatural language processing and digital humanities. Additionally, it can easily be integrated into existing institutional infrastructures."",
}
","G{\""a}rtner, Markus  and
      Hahn, Uli  and
      Hermann, Sibylle",Preserving Workflow Reproducibility: The {R}e{P}lay-{DH} Client as a Tool for Process Documentation,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),2018,LREC,"In  this  paper  we  present  a  software  tool  for  elicitation  and  management  of  process  metadata.   It  follows  our  previously  published design idea of an assistant for researchers that aims at minimizing the additional effort required for producing a sustainable workflow documentation.   With  the  ever-growing  number  of  linguistic  resources  available,  it  also  becomes  increasingly  important  to  provide proper  documentation  to  make  them  comparable  and  to  allow  meaningful  evaluations  for  specific  use  cases.   The  often  prevailing practice  of  post  hoc  documentation  of  resource  generation  or  research  processes  bears  the  risk  of  information  loss.   Not  only  does detailed documentation of a process aid in achieving reproducibility, it also increases usefulness of the documented work for others asa cornerstone of good scientific practice.  Time pressure together with the lack of simple documentation methods leads to workflow documentation in practice being an arduous and often neglected task. Our tool ensures a clean documentation for common workflows innatural language processing and digital humanities. Additionally, it can easily be integrated into existing institutional infrastructures."
"@inproceedings{horsmann-zesch-2018-deeptc,
    title = ""{D}eep{TC} {--} An Extension of {DKP}ro Text Classification for Fostering Reproducibility of Deep Learning Experiments"",
    author = ""Horsmann, Tobias  and
      Zesch, Torsten"",
    booktitle = ""Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)"",
    month = may,
    year = ""2018"",
    address = ""Miyazaki, Japan"",
    publisher = ""European Language Resources Association (ELRA)"",
    url = ""https://www.aclweb.org/anthology/L18-1403"",
    abstract = ""We present a deep learning extension for the multi-purpose text classification framework DKPro Text Classification (DKPro TC). DKProTC is a flexible framework for creating easily shareable and reproducible end-to-end NLP experiments involving machine learning. We provide an overview of the current state of DKPro TC, which does not allow integration of deep learning, and discuss the necessary conceptual extensions.  These extensions are based on an analysis of common deep learning setups found in the literature to support all common text classification setups, i.e. single outcome, multi outcome, and sequence classification problems.  Additionally to providing an end-to-end shareable environment for deep learning experiments, we provide convenience features that take care of repetitive steps, such as pre-processing, data vectorization and pruning of embeddings.  By moving a large part of this boilerplate code into DKPro TC, the actual deep learning framework code improves in readability and lowers the amount of redundant source code considerably.  As proof-of-concept, we integrate Keras, DyNet, and DeepLearning4J."",
}
","Horsmann, Tobias  and
      Zesch, Torsten",{D}eep{TC} {--} An Extension of {DKP}ro Text Classification for Fostering Reproducibility of Deep Learning Experiments,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),2018,LREC,"We present a deep learning extension for the multi-purpose text classification framework DKPro Text Classification (DKPro TC). DKProTC is a flexible framework for creating easily shareable and reproducible end-to-end NLP experiments involving machine learning. We provide an overview of the current state of DKPro TC, which does not allow integration of deep learning, and discuss the necessary conceptual extensions.  These extensions are based on an analysis of common deep learning setups found in the literature to support all common text classification setups, i.e. single outcome, multi outcome, and sequence classification problems.  Additionally to providing an end-to-end shareable environment for deep learning experiments, we provide convenience features that take care of repetitive steps, such as pre-processing, data vectorization and pruning of embeddings.  By moving a large part of this boilerplate code into DKPro TC, the actual deep learning framework code improves in readability and lowers the amount of redundant source code considerably.  As proof-of-concept, we integrate Keras, DyNet, and DeepLearning4J."
"@article{wieling-etal-2018-squib,
    title = ""{S}quib: Reproducibility in Computational Linguistics: Are We Willing to Share?"",
    author = ""Wieling, Martijn  and
      Rawee, Josine  and
      van Noord, Gertjan"",
    journal = ""Computational Linguistics"",
    volume = ""44"",
    number = ""4"",
    month = dec,
    year = ""2018"",
    url = ""https://www.aclweb.org/anthology/J18-4003"",
    doi = ""10.1162/coli_a_00330"",
    pages = ""641--649"",
}
","Wieling, Martijn  and
      Rawee, Josine  and
      van Noord, Gertjan",{S}quib: Reproducibility in Computational Linguistics: Are We Willing to Share?,Computational Linguistics,2018,CL,"This study focuses on an essential precondition for reproducibility in computational linguistics: the willingness of authors to share relevant source code and data. Ten years after Ted Pedersen’s influential “Last Words” contribution in Computational Linguistics, we investigate to what extent researchers in computational linguistics are willing and able to share their data and code. We surveyed all 395 full papers presented at the 2011 and 2016 ACL Annual Meetings, and identified whether links to data and code were provided. If working links were not provided, authors were requested to provide this information. Although data were often available, code was shared less often. When working links to code or data were not provided in the paper, authors provided the code in about one third of cases. For a selection of ten papers, we attempted to reproduce the results using the provided data and code. We were able to reproduce the results approximately for six papers. For only a single paper did we obtain the exact same results. Our findings show that even though the situation appears to have improved comparing 2016 to 2011, empiricism in computational linguistics still largely remains a matter of faith. Nevertheless, we are somewhat optimistic about the future. Ensuring reproducibility is not only important for the field as a whole, but also seems worthwhile for individual researchers: The median citation count for studies with working links to the source code is higher."
"@inproceedings{htut-etal-2018-grammar-induction,
    title = ""Grammar Induction with Neural Language Models: An Unusual Replication"",
    author = ""Htut, Phu Mon  and
      Cho, Kyunghyun  and
      Bowman, Samuel"",
    booktitle = ""Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing"",
    month = oct # ""-"" # nov,
    year = ""2018"",
    address = ""Brussels, Belgium"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/D18-1544"",
    doi = ""10.18653/v1/D18-1544"",
    pages = ""4998--5003"",
}
","Htut, Phu Mon  and
      Cho, Kyunghyun  and
      Bowman, Samuel",Grammar Induction with Neural Language Models: An Unusual Replication,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing,2018,EMNLP,"A substantial thread of recent work on latent
tree learning has attempted to develop neural
network models with parse-valued latent variables and train them on non-parsing tasks, in
the hope of having them discover interpretable
tree structure. In a recent paper, Shen et al.
(2018) introduce such a model and report nearstate-of-the-art results on the target task of language modeling, and the first strong latent tree
learning result on constituency parsing. In an
attempt to reproduce these results, we discover
issues that make the original results hard to
trust, including tuning and even training on
what is effectively the test set. Here, we attempt to reproduce these results in a fair experiment and to extend them to two new datasets.
We find that the results of this work are robust:
All variants of the model under study outperform all latent tree learning baselines, and perform competitively with symbolic grammar
induction systems. We find that this model
represents the first empirical success for latent tree learning, and that neural network language modeling warrants further study as a
setting for grammar induction."
"@inproceedings{moore-rayson-2018-bringing,
    title = ""Bringing replication and reproduction together with generalisability in {NLP}: Three reproduction studies for Target Dependent Sentiment Analysis"",
    author = ""Moore, Andrew  and
      Rayson, Paul"",
    booktitle = ""Proceedings of the 27th International Conference on Computational Linguistics"",
    month = aug,
    year = ""2018"",
    address = ""Santa Fe, New Mexico, USA"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/C18-1097"",
    pages = ""1132--1144"",
}
","Moore, Andrew  and
      Rayson, Paul",Bringing replication and reproduction together with generalisability in {NLP}: Three reproduction studies for Target Dependent Sentiment Analysis,Proceedings of the 27th International Conference on Computational Linguistics,2018,COLING,"Lack of repeatability and generalisability are two significant threats to continuing scientific development in Natural Language Processing. Language models and learning methods are so complex that scientific conference papers no longer contain enough space for the technical depth required
for replication or reproduction. Taking Target Dependent Sentiment Analysis as a case study, we
show how recent work in the field has not consistently released code, or described settings for
learning methods in enough detail, and lacks comparability and generalisability in train, test or
validation data. To investigate generalisability and to enable state of the art comparative evaluations, we carry out the first reproduction studies of three groups of complementary methods and
perform the first large-scale mass evaluation on six different English datasets. Reflecting on our
experiences, we recommend that future replication or reproduction experiments should always
consider a variety of datasets alongside documenting and releasing their methods and published
code in order to minimise the barriers to both repeatability and generalisability. We have released our code with a model zoo on GitHub with Jupyter Notebooks to aid understanding and full documentation, and we recommend that others do the same with their papers at submission time through an anonymised GitHub account."
"@inproceedings{pierrejean-tanguy-2018-etude,
    title = ""Etude de la reproductibilit{\'e} des word embeddings : rep{\'e}rage des zones stables et instables dans le lexique (Reproducibility of word embeddings : identifying stable and unstable zones in the semantic space)"",
    author = ""Pierrejean, B{\'e}n{\'e}dicte  and
      Tanguy, Ludovic"",
    booktitle = ""Actes de la Conf{\'e}rence TALN. Volume 1 - Articles longs, articles courts de TALN"",
    month = ""5"",
    year = ""2018"",
    address = ""Rennes, France"",
    publisher = ""ATALA"",
    url = ""https://www.aclweb.org/anthology/2018.jeptalnrecital-long.3"",
    pages = ""33--46"",
    language = ""French"",
}
","Pierrejean, B{\'e}n{\'e}dicte  and
      Tanguy, Ludovic",Etude de la reproductibilit{\'e} des word embeddings : rep{\'e}rage des zones stables et instables dans le lexique (Reproducibility of word embeddings : identifying stable and unstable zones in the semantic space),"Actes de la Conf{\'e}rence TALN. Volume 1 - Articles longs, articles courts de TALN",2018,WS,Distributional semantic models trained using neural networks techniques yield different modelseven when using the same parameters. We describe a series of experiments where we examine theinstability of word embeddings both from a global and local perspective for several models trainedwith the same parameters. We measured the global variation for models trained on three differentcorpora. This variation is estimated to about 17% for the 25 nearest neighbours of a target word. Wealso identified and described local zones of stability and instability in the semantic space.
"@inproceedings{van-miltenburg-etal-2019-task,
    title = ""On task effects in {NLG} corpus elicitation: a replication study using mixed effects modeling"",
    author = ""van Miltenburg, Emiel  and
      van de Kerkhof, Merel  and
      Koolen, Ruud  and
      Goudbeek, Martijn  and
      Krahmer, Emiel"",
    booktitle = ""Proceedings of the 12th International Conference on Natural Language Generation"",
    month = oct # ""{--}"" # nov,
    year = ""2019"",
    address = ""Tokyo, Japan"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/W19-8649"",
    doi = ""10.18653/v1/W19-8649"",
    pages = ""403--408"",
}
","van Miltenburg, Emiel  and
      van de Kerkhof, Merel  and
      Koolen, Ruud  and
      Goudbeek, Martijn  and
      Krahmer, Emiel",On task effects in {NLG} corpus elicitation: a replication study using mixed effects modeling,Proceedings of the 12th International Conference on Natural Language Generation,2019,INLG,"Task effects in NLG corpus elicitation recentlystarted to receive more attention, but are usu-ally  not  modeled  statistically.   We  present  acontrolled replication of the study by Van Mil-tenburg et al. (2018b), contrasting spoken withwritten descriptions.   We collected additionalwritten Dutch descriptions to supplement thespoken data from the DIDEC corpus, and an-alyzed  the  descriptions  using  mixed  effectsmodeling to account for variation between par-ticipants and items.  Our results show that theeffects of modality largely disappear in a con-trolled setting"
"@inproceedings{fortuna-etal-2019-stop,
    title = ""Stop {P}ropag{H}ate at {S}em{E}val-2019 Tasks 5 and 6: Are abusive language classification results reproducible?"",
    author = ""Fortuna, Paula  and
      Soler-Company, Juan  and
      Nunes, S{\'e}rgio"",
    booktitle = ""Proceedings of the 13th International Workshop on Semantic Evaluation"",
    month = jun,
    year = ""2019"",
    address = ""Minneapolis, Minnesota, USA"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/S19-2131"",
    doi = ""10.18653/v1/S19-2131"",
    pages = ""745--752"",
}
","Fortuna, Paula  and
      Soler-Company, Juan  and
      Nunes, S{\'e}rgio",Stop {P}ropag{H}ate at {S}em{E}val-2019 Tasks 5 and 6: Are abusive language classification results reproducible?,Proceedings of the 13th International Workshop on Semantic Evaluation,2019,WS,"This paper summarizes the participation of Stop PropagHate team at SemEval 2019. Our approach is based on replicating one of the most relevant works on the literature, using word embeddings and LSTM. After circumventing some of the problems of the original code, we found poor results when applying it to the HatEval contest (F1=0.45). We think this is due mainly to inconsistencies in the data of this contest. Finally, for the OffensEval the classifier performed well (F1=0.74), proving to have a better performance for offense detection than for hate speech."
"@inproceedings{mieskes-etal-2019-community,
    title = ""Community Perspective on Replicability in Natural Language Processing"",
    author = {Mieskes, Margot  and
      Fort, Kar{\""e}n  and
      N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Grouin, Cyril  and
      Cohen, Kevin},
    booktitle = ""Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2019)"",
    month = sep,
    year = ""2019"",
    address = ""Varna, Bulgaria"",
    publisher = ""INCOMA Ltd."",
    url = ""https://www.aclweb.org/anthology/R19-1089"",
    doi = ""10.26615/978-954-452-056-4_089"",
    pages = ""768--775"",
}
","Mieskes, Margot  and
      Fort, Kar{\""e}n  and
      N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Grouin, Cyril  and
      Cohen, Kevin",Community Perspective on Replicability in Natural Language Processing,Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2019),2019,WS,"With recent efforts in drawing attention to the task of replicating and/or reproducing results, for example in the context of COLING 2018 and various LREC workshops, the question arises how the NLP community views the topic of replicability in general. Using a survey, in which we involve members of the NLP community, we investigate how our community perceives this topic, its relevance and options for improvement. Based on over two hundred participants, the survey results confirm earlier observations, that successful reproducibility requires more than having access to code and data. Additionally, the results show that the topic has to be tackled from the authors’, reviewers’ and community’s side."
